time,AGU,BCN,BCS,CAM,CHH,CHP,CMX,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TAM,TLA,VER,YUC,ZAC
2014-01-01,20.67,23.77,26.73,27.42,20.46,28.56,21.54,19.3,31.53,20.62,31.77,22.96,21.67,24.88,20.01,25.05,27.65,30.51,20.08,26.78,21.92,22.76,27.44,30.27,22.52,26.14,25.49,21.52,19.19,23.1,27.2,20.24
2014-02-01,26.14,23.27,27.9,31.72,24.6,32.0,25.1,24.15,32.41,26.16,32.98,27.73,26.85,28.96,23.81,28.22,31.39,32.8,23.63,30.19,26.22,27.36,29.99,31.56,27.21,28.05,29.9,24.38,23.48,26.37,30.66,25.87
2014-03-01,27.3,24.98,28.78,34.09,24.63,33.72,26.29,25.59,33.04,26.59,34.42,28.92,27.97,30.11,25.23,28.94,33.12,34.01,25.07,31.87,26.95,28.6,31.12,32.55,28.45,29.14,32.1,25.84,24.62,27.61,33.6,26.68
2014-04-01,29.84,26.31,30.8,35.8,28.66,34.45,26.59,31.13,33.35,29.2,35.64,30.76,30.33,32.38,25.95,30.86,34.05,36.21,30.77,33.11,28.9,28.87,32.72,35.11,32.7,32.17,33.56,31.3,25.43,30.67,35.68,29.28
2014-05-01,29.14,30.33,33.33,34.06,30.95,32.43,25.01,31.86,34.19,30.38,34.22,29.61,28.32,31.82,24.11,29.8,31.64,37.3,31.06,30.93,26.88,28.64,32.68,37.04,31.58,35.75,32.16,31.51,23.99,29.36,34.31,29.43
2014-06-01,28.23,32.22,35.59,33.78,35.56,31.56,24.32,34.3,33.45,32.32,32.41,29.07,28.13,30.99,23.22,27.5,28.75,36.0,34.21,30.37,25.73,28.39,32.78,38.06,32.45,40.34,32.83,34.22,22.67,30.04,33.45,29.01
2014-07-01,26.5,31.74,35.33,35.43,32.02,32.57,23.64,34.17,33.95,29.59,32.94,27.47,27.52,29.76,22.39,27.26,28.37,36.07,34.75,31.27,25.61,27.06,34.13,35.53,31.8,37.06,33.9,34.72,22.54,29.98,35.17,26.92
2014-08-01,27.4,32.39,35.47,35.12,30.49,32.66,24.18,34.74,33.96,29.22,32.66,27.95,29.01,29.91,23.22,27.7,29.11,35.53,35.83,31.89,26.79,28.2,34.38,35.01,33.83,35.59,34.64,36.72,23.5,31.13,35.41,27.76
2014-09-01,26.16,34.17,33.84,33.58,29.2,30.77,23.69,30.44,31.83,28.06,31.52,27.06,26.62,28.34,22.54,26.82,27.8,33.92,30.45,29.22,25.19,26.42,32.81,34.34,30.7,34.65,32.54,32.16,22.67,29.07,33.24,26.28
2014-10-01,26.74,30.27,33.0,32.27,29.33,29.94,22.96,30.12,32.91,28.28,31.56,26.84,25.74,29.15,21.65,27.22,27.69,34.16,29.79,28.67,24.58,25.6,32.47,35.42,29.77,33.87,31.05,31.13,21.99,28.16,32.08,26.66
2014-11-01,22.84,26.12,29.46,29.64,21.96,29.26,22.94,20.63,32.1,22.19,31.62,24.92,23.44,26.42,21.72,26.31,27.63,31.22,21.66,27.44,23.44,23.75,29.48,32.21,24.0,28.04,28.06,23.45,21.43,24.3,29.35,22.47
2014-12-01,22.75,20.95,26.32,29.4,20.87,28.35,21.74,20.61,31.71,22.62,30.71,24.46,23.41,26.55,21.12,25.66,26.96,30.68,21.11,27.0,23.16,23.0,29.1,29.81,24.43,24.6,27.79,23.49,20.78,24.27,29.24,22.4
2015-01-01,22.65,21.92,25.02,28.63,17.58,28.62,21.54,17.4,32.39,20.57,31.48,24.27,22.18,27.03,20.53,26.22,28.16,31.07,17.98,26.7,22.74,22.96,28.68,28.93,22.04,24.0,25.89,18.92,20.17,21.77,29.35,21.87
2015-02-01,23.03,24.09,27.27,29.96,21.94,30.6,23.12,20.96,30.37,22.54,31.85,25.12,24.17,27.03,21.93,26.15,29.51,30.17,20.99,28.54,24.08,24.46,29.39,30.28,24.48,27.16,27.59,22.67,21.89,23.66,30.3,22.36
2015-03-01,23.16,26.21,28.7,33.07,22.76,32.29,23.64,22.52,31.47,22.66,33.05,25.41,24.66,27.24,22.29,27.67,30.68,31.87,22.61,29.36,24.33,24.92,31.84,31.12,25.76,28.1,29.52,24.58,22.14,25.04,33.87,22.6
2015-04-01,27.45,25.6,29.35,37.34,26.25,35.25,26.65,28.79,33.17,27.45,34.66,29.6,29.5,31.2,25.45,31.12,34.04,34.27,28.74,33.33,27.95,29.15,33.52,33.69,31.92,30.53,35.24,30.69,24.73,31.05,37.12,27.41
2015-05-01,29.07,25.18,30.41,36.95,29.77,34.04,25.26,31.61,34.76,29.85,34.54,29.97,29.63,32.76,24.29,31.62,31.77,36.77,30.55,32.52,27.04,29.19,34.29,35.44,32.2,32.25,34.53,32.13,23.87,30.94,36.66,29.84
2015-06-01,27.13,31.31,33.42,34.54,33.51,32.23,24.45,32.34,34.29,30.33,32.91,28.36,28.38,30.76,22.99,28.75,29.41,36.86,31.93,31.24,25.79,27.81,33.26,37.86,32.16,38.84,33.01,33.68,22.74,29.86,34.36,27.67
2015-07-01,25.85,29.46,34.13,36.17,31.82,32.59,24.48,34.84,34.07,29.4,32.98,27.26,28.19,29.5,22.72,28.75,29.68,36.11,34.85,31.68,26.55,27.15,34.95,36.12,31.88,36.4,34.06,34.91,23.39,30.55,35.85,26.36
2015-08-01,27.07,33.41,35.39,35.65,32.29,33.26,25.04,35.95,34.44,30.71,33.58,28.53,29.38,30.49,23.45,29.53,29.9,35.88,36.0,32.58,27.54,28.28,34.84,35.87,33.64,37.33,34.74,36.03,24.27,31.46,35.72,27.78
2015-09-01,26.54,32.79,34.08,34.47,31.01,31.85,23.88,33.43,33.8,29.71,31.98,27.75,27.85,30.03,22.55,28.6,27.1,34.43,32.98,31.2,25.47,27.62,33.59,34.77,31.94,34.74,33.33,33.37,22.47,30.14,35.18,27.08
2015-10-01,25.2,29.85,31.95,32.66,27.42,31.36,23.39,29.61,33.43,26.97,32.43,27.15,27.02,29.32,22.23,28.43,29.05,34.26,30.07,30.09,25.42,26.32,31.66,34.33,30.11,32.76,31.63,31.15,22.28,28.97,32.69,25.54
