time,AGU,BCN,BCS,CAM,CHH,CHP,CMX,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TAM,TLA,VER,YUC,ZAC
2014-01-01,135.5,1.3,3.3,848.7,11.7,2225.3,31.3,105.4,35.2,183.8,31.5,158.8,144.4,107.4,141.3,196.4,10.7,75.1,93.1,286.3,635.0,2.5,995.1,6.2,410.9,5.3,2942.9,200.0,5.1,2003.3,1567.9,430.3
2014-02-01,2.5,188.74,1.01,394.57,16.04,773.27,115.05,57.86,0.0,20.03,0.0,10.48,102.85,0.1,152.07,74.0,9.5,0.04,339.06,210.33,486.67,1.5,287.4,0.0,232.41,16.45,558.7,391.93,0.9,966.03,754.88,7.65
2014-03-01,38.95,145.07,0.51,239.77,418.47,1378.53,840.85,325.12,0.0,202.39,13.3,197.77,503.4,49.72,546.69,73.38,42.44,1.55,884.55,636.68,2568.9,95.1,398.7,216.61,707.68,40.31,1436.9,2115.38,257.0,3260.03,184.31,120.8
2014-04-01,10.07,71.13,0.26,565.07,39.18,4088.16,1776.15,154.82,0.0,0.1,240.4,415.47,497.65,64.76,1246.15,330.91,869.38,7.37,432.81,941.52,2646.76,263.79,291.54,0.01,574.83,4.89,2976.1,649.79,258.8,1935.29,575.19,9.35
2014-05-01,1150.75,5.3,0.6,2438.87,19.37,11244.64,4027.67,1211.3,1346.6,267.09,5725.86,3753.43,2034.26,1718.47,5447.86,4848.07,4904.75,152.25,2088.5,5703.08,8943.91,882.38,1737.64,4.67,2031.16,1.17,4462.92,4126.24,1353.87,10706.83,3539.67,1535.41
2014-06-01,1525.33,7.8,9.9,3008.42,1671.42,14713.74,8182.63,1577.02,4397.3,2493.51,9317.08,8446.49,3005.39,6597.64,10354.17,8020.76,11513.74,2407.31,1862.02,11572.3,20368.74,2945.16,591.58,3578.88,5712.12,326.38,3513.3,3636.67,2275.13,20455.58,1784.06,5271.22
2014-07-01,1283.24,16.86,1179.6,1638.78,3665.27,6449.89,7791.5,847.19,2473.71,3247.86,3318.93,5799.25,1767.34,5504.19,8599.71,7035.55,4739.69,1724.69,1271.36,5742.25,11048.71,1304.57,254.42,9271.37,4278.34,5757.0,2839.2,3123.46,1498.64,12995.52,2196.54,3001.5
2014-08-01,1653.85,98.2,1145.88,2800.26,4766.97,10069.89,9396.56,1385.54,3192.8,4120.57,6886.89,6302.46,1329.12,5847.57,7029.5,7502.14,5746.72,3867.44,1751.24,6724.86,9492.57,1535.08,651.72,8944.97,2141.14,7725.89,3114.0,2093.65,1289.34,11708.46,3309.24,4570.43
2014-09-01,1528.48,204.6,3461.56,2788.97,4480.48,18900.35,7633.85,2983.36,4699.61,4447.42,8141.99,4886.01,3218.26,5216.16,7238.41,6879.93,10309.65,2612.73,7904.69,11095.1,15138.39,1332.94,1591.87,7714.07,8023.56,5970.68,6698.51,17217.66,1295.32,26882.33,4489.36,4665.59
2014-10-01,346.47,94.63,284.98,2120.21,292.66,11945.74,7982.37,507.3,1912.71,593.03,4950.32,3420.2,2328.46,2491.81,5928.28,4028.7,4699.9,1582.06,2698.56,7787.59,12852.04,769.25,2434.44,759.81,3809.46,528.68,7400.9,4778.08,1008.25,21659.02,4978.04,1743.28
2014-11-01,269.1,0.0,0.0,459.9,14.3,4861.7,457.7,856.6,1462.2,237.8,462.8,220.9,499.5,1145.1,481.7,177.1,211.8,0.0,1476.7,2157.8,2509.3,30.0,642.8,8.4,486.9,0.0,4559.9,2119.2,58.9,7178.3,858.9,751.5
2014-12-01,84.7,0.0,0.0,433.1,14.5,861.1,1072.8,149.4,148.6,28.3,153.2,94.7,454.8,83.2,628.0,118.9,364.2,0.0,759.5,1302.6,2929.8,6.8,544.8,0.2,813.3,0.0,588.7,1431.7,186.8,3979.3,375.4,456.3
2015-01-01,138.2,12.6,52.8,1047.1,932.3,4671.2,12.9,380.8,0.0,900.9,8.3,156.6,579.2,79.3,83.6,14.5,0.0,11.5,712.9,1708.5,2677.1,32.4,390.4,264.8,723.8,1345.2,5100.0,1454.7,65.5,7301.7,881.0,522.2
