time,AGU,BCN,BCS,CAM,CHH,CHP,CMX,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TAM,TLA,VER,YUC,ZAC
2014-01-01,2.97,9.39,11.2,17.73,2.64,16.12,6.75,3.98,18.29,1.97,16.64,5.15,5.89,8.29,2.27,7.87,10.6,14.37,4.68,13.62,6.11,5.71,18.96,11.89,8.54,6.58,18.28,7.82,1.5,12.28,16.57,2.76
2014-02-01,4.61,9.91,12.0,19.84,5.03,17.85,9.25,7.67,18.37,4.47,17.87,7.33,8.66,9.29,3.75,8.46,12.93,14.5,8.32,15.86,8.45,8.91,21.27,11.69,11.52,7.83,20.79,11.64,3.34,14.71,18.38,4.56
2014-03-01,6.4,11.72,13.75,21.11,7.14,19.51,11.08,10.37,17.8,6.54,19.02,9.47,10.97,10.69,5.93,10.2,15.04,15.31,10.89,17.48,10.32,11.35,22.47,13.35,13.97,10.23,21.92,13.82,6.24,16.2,19.43,6.21
2014-04-01,8.93,12.68,15.27,22.54,9.82,20.84,12.43,15.42,19.95,9.17,20.8,11.63,12.82,13.66,7.56,13.21,16.61,17.46,15.13,18.92,12.1,12.43,23.17,14.96,16.47,12.35,22.88,18.27,7.98,17.75,20.54,8.8
2014-05-01,11.91,16.33,17.91,22.89,12.4,21.47,12.05,17.02,22.61,11.73,21.34,13.29,13.26,16.25,8.58,14.9,17.19,21.68,16.94,19.4,12.75,14.18,24.73,18.84,18.01,15.64,23.33,20.03,9.13,18.61,21.53,11.84
2014-06-01,13.81,19.17,22.52,23.28,18.6,21.57,13.01,21.51,23.61,15.79,21.25,14.9,15.56,17.41,10.5,14.85,17.62,24.24,20.99,20.27,13.98,16.18,25.76,24.76,21.04,23.06,24.27,23.53,10.87,20.19,22.42,14.34
2014-07-01,12.63,20.75,24.04,23.26,17.84,21.18,11.99,21.43,22.94,15.11,20.81,13.92,14.39,16.27,9.57,14.82,16.19,23.3,20.74,19.91,12.53,15.01,25.22,23.61,19.79,23.05,23.95,23.1,8.81,19.34,21.94,12.93
2014-08-01,12.28,21.24,24.16,23.14,17.03,20.98,12.45,21.5,22.85,14.96,20.33,13.25,14.21,16.17,9.31,14.54,16.3,22.97,21.18,19.83,12.51,14.65,24.44,23.53,19.93,22.36,23.88,23.81,8.57,19.54,22.09,12.96
2014-09-01,12.41,22.31,24.0,23.14,16.56,20.98,13.04,19.39,22.39,14.54,20.08,13.82,14.97,16.17,10.07,14.88,16.33,23.21,19.83,19.44,12.82,15.31,24.26,23.78,20.0,21.92,23.71,22.52,9.54,19.48,21.97,12.91
2014-10-01,9.88,17.41,20.66,22.61,11.77,20.41,11.16,15.67,22.95,10.78,19.84,11.25,12.96,14.52,8.02,13.23,15.31,23.19,16.46,18.54,11.67,12.75,23.71,21.5,17.41,16.33,22.97,19.92,8.04,18.39,21.19,9.81
